,Unnamed: 0,Form,State,Security_Grade,Area_Number,Terrain_Description,Favorable_Influences,Detrimental_Influences,INHABITANTS_Type,INHABITANTS_Annual_Income,INHABITANTS_Foreignborn,INHABITANTS_F,INHABITANTS_Negro,INHABITANTS_N,INHABITANTS_Infiltration,INHABITANTS_Relief_Families,INHABITANTS_Population_Increase,INHABITANTS_Population_Decrease,INHABITANTS_Population_Static,BUILDINGS_Types,BUILDINGS_Construction,BUILDINGS_Age,BUILDINGS_Repair,Ten_Fifteen_Desirability,Remarks,Date,City_clean,Suburb,max_building_age,Year,Day,Month,max_annual_income,terrain_rolling,white_collar,mixture_or_jewish,professional,business_or_executive,laborer,clerks,mechanics,industrial
0,1,NS FORM-8 6-1-37,Maryland,A,1,undulating ,Very nicely planned residential area of medium to large homes. Direct transportation to center of city is good. Close to business area on Greenmount Ave.,No,executives professional men,over $5000,No,,No,,No,None,Moderately Fast,,,Single family detached,Brick and Stone,12 years,Very good,Upward,"Mostly fee properties. A few homes valued at $10,000 to 15 000 along Homeland Avenue with Ground Rent up to $150","May 4,1937",Baltimore ,,12.0,1937.0,4.0,May,5000.0,0,0,0,1,1,0,0,0,0
1,0,NS FORM-8 6-1-37,Maryland,A,2,rolling,Fairly new suburban area of homogeneous character. Well planned development. Fairly close to city shopping area. Near Parks. Near Schools. ,No,substantial middle class,"$3000 - 5,000",No,,No,,No,None,Fast ,,,Detached an row houses,Brick and frame,1 to 10 years,Good,Upward,"A recent development with much room for expansion directly to the north. Ground Rent $90-$120. Average $110. Much of this property has been built in past five years, especially on northern edge. Valuation changes do not include these properties.","May 4,1937",Baltimore ,,10.0,1937.0,4.0,May,5000.0,0,0,0,0,0,0,0,0,0
2,2,NS FORM-8 6-1-37,Maryland,A,3,rolling,Good residential area. Well planned.,Distance to City,executives professional men,3500 - 7000,No,,No,,No,None,Moderately Fast,,,One family detached,"Brick, Stone, and Frame",1 to 20 years,Good to excellent,Upward,"Principally fee property. This section lies in Baltimore County outside Baltimore City. Originally developed as expensive section, but recent houses have been lower priced, thus holding down values in higher priced units. ","May 4,1937",Baltimore ,,20.0,1937.0,4.0,May,7000.0,0,0,0,1,1,0,0,0,0
3,3,NS FORM-8 6-1-37,Maryland,A,4,level,Well planned development of fairly,No,professional and executives ,over $5000,No,,No,,No,None,Slowly,,,One  family,"Brick, Stone, and Frame",10 years,Good,Upward,All fee property,"May 4,1937",Baltimore ,,10.0,1937.0,4.0,May,5000.0,0,0,0,1,1,0,0,0,0
4,4,NS FORM-8 6-1-37,Maryland,A,5,undulating ,"Desirable residential section. Good quality, medium priced section.",No,executives professional men,"$3,500 - $10,000",No,,No,,No,None,Moderately Fast,,,One family detached,Brick and Stone,1 to 20 years,Good,Upward,Merridale only recently developed. Prices do not include Merridale. Principally fee property. Part of the section is outside Baltimore city limits.  ,,Baltimore ,,20.0,,,,10000.0,0,0,0,1,1,0,0,0,0
5,5,NS FORM-8 6-1-37,Maryland,A,6,rolling,To be developed as high grade development,,,,Yes,,,,,,,,,Single ,Masonry,,,,Owned and controlled by the Roland Park Company. Developers apparently intend to keep the section comparable to Guilford. All fee property.,,Baltimore , Northwood,,,,,,0,1,0,1,0,0,1,1,1
6,6,NS FORM-8 6-1-37,Maryland,B,1,rolling to hilly,Desirable old residential section. Principally large homes and well restricted,No,executives professional men,over $4000,No,,No,,No,None,,,Yes,One family detached,Frame,25 years,Good,Static,"This section was completely built up in 1921. All fee properties. Houses are hard to sell in this section, but character of area is good. ",,Baltimore ,,25.0,,,,4000.0,1,0,0,1,1,0,0,0,0
7,7,NS FORM-8 6-1-37,Maryland,B,2,rolling to hilly,"Restricted, desirable residential section of moderately large houses on large lots. A wooded section of good character.",No,executives professional men,over $5000,No,,No,,No,None,Slowly,,,One family detached,Frame and Brick,15 to 25 years,Good,Static to upward,Principally fee property. ,"May 4,1937",Baltimore ,,25.0,1937.0,4.0,May,5000.0,1,0,0,1,1,0,0,0,0
8,8,NS FORM-8 6-1-37,Maryland,B,3,high level,Good residential section of fast moving property.,Few streets of property in poor condition,business men,$3000 and up,No,,No,,No,Few,Moderately Fast,,,Single detached,Brick and Frame,15 years,Good,Static to upward,Section is very spotty with poor houses lying on low ground. Most of new development is on western edge. Ground rents are either $90 or $120,"May 4,1937",Baltimore ,,15.0,1937.0,4.0,May,3000.0,0,0,0,0,1,0,0,0,0
9,9,NS FORM-8 6-1-37,Maryland,B,4,rolling to level,Good suburban residential area of modest homes. A desirable section of good character.,No,business people,$2500 to $4000,Yes,,No,,,Very few,Moderately Fast,,,One family cottage,Frame,5 to 25 years,Good,Static to upward,Ground rent range $90 to $120. Part of the section is outside Baltimore City limits,"May 4,1937",Baltimore ,,25.0,1937.0,4.0,May,4000.0,0,0,0,0,1,0,0,0,0
